links,Answers
What's a system update?,"For the best possible experience, we release new system updates from time to time.

Upgrading software to the latest version fixes software issues. In some cases, new features are added to optimise performance further. Please always update to the latest software version.

To find the latest updates, go to Settings System System update."
What's in the box for Phone (2a) Plus?,"Nothing Phone (2a) Plus
Type-C cable
Safety information and warranty card
Screen protector (pre-applied)
SIM tray ejector"
Does Phone (2a) Plus support wireless charging?,"No, Phone (2a) Plus does not support wireless charging."
Does Phone (2a) Plus have dual 4G modes?,"Yes, dual 4G mode is supported. SIM card 1 and SIM card 2 can register on the 4G network at the same time but only the main data card can use the data service."
What are the screen parameters of Phone (2a) Plus？,"Clarity: PPI 394
Resolution: 1080 x 2412
Brightness: normal 500 nit, HBM 700 nit, peak 1300 nit"
What are the dimensions of Phone (2a) Plus?,"Here is the dimensions:
 Height: 161.74 mm
 Width: 76.32 mm
 Thickness: 8.55 mm
 Weight: 190 g
 *Data from Nothing laboratory. The actual size and weight may differ due to the manufacturing process and measurement method."
What is the battery capacity? How long does it take to charge?,"Battery capacity: 5000 mAh
The charging current of mobile phones is different at different temperatures, so the full charging time is also different at different temperatures. Please note, charging speed also depends on the type of charger used.
It is recommended to use a PPS protocol charger at room temperature with the screen turned off. Using a Nothing charger at room temperature (25°C ± 3°C), the full charging time is about 1 hour."
At what temperature does Phone (2a) Plus work best?,"For an optimum experience, use and charge Phone (2a) Plus in environments around 20-30°C."
Does Phone (2a) Plus support fast charging?,"Yes, fast charging is supported."
Can Phone (2a) Plus use other wired chargers to charge?,"Other brands of wired chargers can be used for charging. In order to have a better charging experience, it is recommended to use a branded charger that supports the PPS protocol."
Can Phone (2a) Plus be charged with other wireless chargers?,"No, Phone (2a) Plus cannot be charged with wireless chargers."
Does the Phone support fingerprint unlock?,"Yes,Nothing Phone supports fingerprint unlock."
Does the Phone support face unlock?,"Yes, Nothing Phone supports face unlock."
Will the Phone support dual SIM?,"Yes, it supports dual SIM."
Is there expandable memory/storage on Nothing Phone?,"No, Nothing Phone does not support expandable storage."
Does Nothing Phone support WiFi 6?,"Yes, it does."
Is there a 3.5mm headphone jack on Nothing Phone?,"No, there is no 3.5mm headphone jack on Nothing Phone."
Is it harmful to not shut down my Phone for an extended period?,"By not shutting down for a long time, Nothing Phone will slow down. This is because junk files are generated whenever the phone is in operation, and over time, this can clog the system."
Does the Phone support eSIM?,"No, Nothing Phone doesn't support this feature."
What is the USB tethering feature and how do I use it?,USB Tethering means internet sharing. It makes your phone a WiFi router and allows you to share your phone's internet connection with the connected PC. Tethering works when your phone is connected to the internet via mobile data or a WiFi network. 1. Go to Settings > Network & internet > Hotspot & tethering > USB tethering. 2. Connect Nothing Phone to the computer with the USB cable. 3. Connect to WiFi with network access or insert the SIM card to Nothing Phone and connect to an available data network.
What is WiFi Direct?,"WiFi Direct allows devices to connect and share files directly through WiFi at a range and speed beyond the capabilities of Bluetooth. Common uses of WiFi Direct: 1. Fast file sharing: WiFi Direct is an excellent way to quickly share large files with friends or groups when you can't connect to a wired connection. 2. Screen-casting and screen-sharing: share family photos on your TV or digital portrait, etc. For Nothing Phone, WiFi Direct is key for nearby sharing, screen-casting, etc. It can't handle the file transfer or screencast independently."
Do I need to restart my phone every day?,"No, you don't need to restart Nothing Phone every day."
