Questions,Answers
How do I choose the Glyph Interface for notifications?,"Each notification sound has a unique Glpyh pattern associated with it. 

Go to Settings > Glyph Interface > Notification sounds. Preview the Glyph patterns and choose a sound. Click the add icon in the left upper corner to add your own ringtones.

Note: you can choose your notification sounds from original Nothing sounds and imported sounds."
How do I choose the Glyph Interface for ringtones?,"Each ringtone has a unique Glpyh pattern associated with it. 

Go to Settings > Glyph Interface > Ringtones > Default ringtone. Preview the Glyph patterns and choose a ringtone. Tap the add icon in the left upper corner to add your own ringtones.

Note: you can choose your notification sounds from original Nothing sounds and imported sounds."
How do I adjust the brightness of the Glyph Interface?,Go to Settings > Glyph Interface and slide the bar to adjust brightness.
How do I turn the Glyph Interface on/off?,"Go to Settings > Glyph Interface to enable / disable Glyph lights. Alternatively, swipe down on your home screen to access quick settings and tap Glyphs."
How do I lock my apps?,"Go to Settings > Apps > App locker, then select the app that needs locking.

We suggest you protect your personal data by setting a screen lock password."
How do I access Multiple Users from the lock screen?,"Ensure if multi-user is enabled by going to Settings > System > Multiple users.

After that, swipe down from the top of the lock screen to access quick settings and tap the user icon."
How do I open the camera from the lock screen?,"Go to Settings > System > Gestures, double-press the power button and select Camera.

You can then quickly launch the camera from the lock screen by pressing the power button twice."
How do I set an alarm?,"1. Go to Settings > Apps > See all apps > Find clock and tap open. Tap the add icon to create a new alarm.
2. Swipe down twice on your screen to access quick settings. Tap on Clock and go to Alarm. Tap the add icon to create a new alarm and adjust the below settings:

- Repeat: select a time for your alarms to repeat between Monday to Sunday.
- Label: add labels for your alarms.
- Alarm sound: select a sound for your alarm.
- Vibrate: turn vibration on/off.

Tap on the More icon in the upper right corner and go to Settings:
1. Silent After: automatically silence an alarm after a set period of time.
2. Snooze length: set snooze length from 1 to 30 mins.

Note: 
1. You can set as many alarms as you want.
2. The alarm sound will be ring even if the phone is in silent mode."
How do I restrict apps from using network data in the background?,Long-press the app icon on the home screen and select App info > Mobile data & WiFi to disable background data.
How do I switch between 4G and 5G?,Go to Settings > Network & internet > SIMs and choose the corresponding SIM card. Then select Preferred network type to switch to the network type you want.
How do I reset my lock screen password?,"To protect user privacy and information security, the lock screen password uses an irreversible algorithm. It does NOT support resetting lock screen passwords. 
You must reset it by restoring your phone to factory defaults, which will erase all data you stored on your Nothing device. You may need to contact or visit your local Customer Support for further assistance."
How do I clean up storage space?,"One-tap optimisation:
Go to Settings > Storage > Free up space > Clean, and your phone will detect and remove hidden temp (temporary folders or files), cookies and cache files generated.

Clean by classification:
Go to Settings > Storage > Free up space > Clean > Internal and remove the file you want from the phone."
How do I set my lock screen password?,"Go to Settings > Security & privacy > Device lock > Screen lock. You can then choose Swipe, Pattern, PIN or Password for the screen lock.

Notice: If you or someone else inputs a wrong passcode multiple times, your device will be temporarily locked."
How do I check my data usage?,"Tracking how much data you use per day or month can help you avoid exceeding mobile data. 

Go to Settings > Network & internet > SIMs and choose the corresponding SIM card. You can check the total data usage or choose App data usage to view which app you've used when."
How do I enable airplane mode?,"When airplane mode is on, your phone's wireless functions such as WiFi, Bluetooth and cellular data will be turned off by default.
Go to Settings > Network & internet > Airplane mode and enable it. Alternatively, swipe down from the top of your screen to open the control centre and then tap the Airplane Mode icon."
How do I clean up a file?,"Swipe up the screen and open the application drawer. Open the Files app and choose what you want to clean.
You can also download a clean-up app to help with file cleaning.

Note: installing third-party cleaning apps may cause power consumption issues and other problems."
How do I switch data used from SIM1 to SIM2?,"Go to Settings > Network & internet > Internet, select the corresponding SIM card and enter the Mobile data settings to enable / close. You can choose to enable / disable mobile data."
How do I clear browser history?,"1. Go to the Browser app > Menu > History > Clear browsing data. Select the records to be deleted, tap [Clear data] to select the time period: last hour / last day / all. 
2. Go to the Browser app > Menu > Settings > Privacy and security page, check the Clear browsing data and tap [Clear data] to remove all browser records."
How do I set the time on my screen?,"1. Go to Settings > System Date & time to access time settings, including the 24-hour system, and double tap it.
2. Open the clock app, tap More in the top right corner, select Settings > Change time and go to the Date & time settings.

Features:
1. 24-hour system: the clock defaults to the 24-hour system. If the 24-hour system is unselected, the time will be displayed in the 12-hour system.
2. Time zone: you can choose to set the time zone and time manually or automatically."
How do I access geographical settings for photos?,"Go to Camera > Settings > Save location. 

Note: first check the status of the wireless network or data network, and then open the GPS to take the photo."
How do I send images with MMS?,"In the SMS app, tap the attachment icon and upload the image. It'll send over data network or WiFi."
How do I use VoLTE (Voice Over LTE) video calling?,"Follow the below steps: 

Go to Contact and tap the contact you want to have video call with. Then tap the video call icon on the right side of the contact.

Note: 
1. Both parties need to support the VoLTE(4G Calling) function and video call function.
2. VoLTE needs to be activated for you by the network carrier.
3. VoLTE needs to be enabled on your phone.
4. VoLTE needs to be supported by your local network. 
5. Both of you need to be in the same VoLTE network (Jio and Jio, Vodafone and Vodafone)."
How can I extend my phone's battery life?,"See our tips below:

1. Charge your phone regularly.
Don't deplete your phone's battery before charging. Doing so frequently will reduce the life of the lithium battery.
2. Charge at a suitable temperature.
The ideal temperature for charging is between 15°C and 35°C.
3. Use the original charger. 
The original charger and cable ensure a stable output of voltage and current, guaranteeing charging speed and safety. Inferior chargers and cables may have hidden safety hazards.
4. Avoid using your phone when charging.
5. Use a slim phone case for charging or, if using a thick case, remove it for charging.
This is to avoid additional heating as the phone charges.  
6. Avoid overcharging.
If your phone is fully charged, the charger will be maintained in a full power state. This may cause battery deformation and leakage of fluid. The battery performance will also be significantly reduced.

Don't charge your phone for more than 12 hours. Unplug the charger when the phone is fully charged.
If you aren't using your phone for a long time, shut your phone down at around 40-80% power, place it in a cool and dry place and charge it regularly."
Can I use Google Assistant to activate the Glyph Interface?,
How do I enable battery saver on my Phone?,
How do I activate Find My Device on my Phone?,
How do I maintain my Phone?,
How do I transfer data from my existing mobile phone (iPhone) to Nothing Phone?,
How do I transfer data from my existing phone (Android) to Nothing Phone?,
How do I change fonts on the Phone?,
How do I block / blacklist numbers on the Phone?,
How to enable call waiting on the Phone?,
How do I enable Game Mode on the Phone?,
How do I turn on / restart the Phone?,
How do I force restart Nothing Phone?,
How do I connect Nothing Ear to the Phone?,
How do I eject the SIM tray on the Phone?,
How do I set and use the passcode on the Phone?,
How do I record on the Phone?,
How do I add the Nothing Ear widget to the Phone?,
