Questions,Answers
Why is my device not finding the Buds while in pairing mode?,"1. The device search process is an interaction between your phone and the earbuds. There might be Bluetooth logic issues on the phone side, causing it to be unable to find the earbuds. This is not an issue with the earbuds. Try turning off and then turning on your phone's Bluetooth, or restart your phone and try searching again.

2. If the problem persists, place both earbuds in the charging case, close the lid, and wait for more than 30 seconds to let the earbuds hard reset. Alternatively, you can open the lid, press, and hold the function button for more than 10 seconds to perform a factory reset and then try pairing again."
Why don't the earbuds automatically reconnect to my phone when the charging case is low on battery?,"1. When the charging case is low on battery, it cannot charge the earbuds but can still attempt to reconnect them. We recommend closing the lid, waiting for 2 seconds, and then reopening it.

2. When the charging case battery is extremely low, it cannot charge the earbuds or facilitate reconnection. Recharging the case will restore normal functionality.

We strongly recommend charging the charging case as soon as possible when the battery is low."
Why does my CMF Buds Pro 2 reconnect to only one device after moving out of range and coming back?,"For user experience considerations, when in dual connection mode, if the earbuds disconnect due to exceeding the connection range and then return within range, they will not automatically reconnect to the second device if the earbuds are currently in a music, call, or meeting state. This behavior is not an earbud malfunction, so please use them with confidence."
What can I do if my phone cannot detect my Watch Pro's Bluetooth?,"1. **Check for Other Connections**:
- Ensure that the watch's Bluetooth is not connected to another phone.
2. **Bluetooth Functionality**:
- Verify that your phone can search for other Bluetooth devices in the Bluetooth settings list to rule out any issues with the phone itself.
3. **Other Device Connections**:
- Confirm if other devices are currently connected to the watch.
4. **Restart the Watch**:
- If the above steps do not resolve the issue, press the Functional Crown on the watch to enter **Settings** > **System Menu** > tap **Restart** or long-press the crown and select **Restart** and check again.
5. **Firmware Upgrade**:
- In the CMF Watch app, go to the **Device** page and select **Device Upgrade** to update the firmware to the latest version.
6. **Reset the Watch**:
If the above steps do not resolve the issue, press the Functional Crown on the watch to enter **Settings** > **System Menu** > tap **Reset** and check if the issue is resolved."
"Why does the iPhone keep prompting ""Forget Device"" after connecting to CMF Buds?","If you encounter the ""Forget Device"" prompt on your iPhone after connecting CMF Buds to iOS, please follow the steps below:"
What should I do if Ear (open) doesn't automatically connect/reconnect to my device?,"1. Upon powering on, the earbuds reconnect with the most recently connected device. You'll be asked to confirm if the last device used is the one you're currently using.
2. If the earbuds leave the charging case and don't find the last connected device within 1 minute, they enter a timeout state. To exit it, place the earbuds back into the case, close the lid for 5 seconds and then reopen it to initiate a new connection.
3. Perform a factory reset by holding the function button on the charging case for 10 seconds or more, and then pair the earbuds again.
4. Update to the latest software using the Nothing X App.

Note: all device customisations are already integrated into the settings of Nothing OS version 1.1.4 and higher. Please keep the Nothing X app updated via the Google Play store."
What should I do if Ear (open) doesn't reconnect to a device within the Bluetooth range?,"1. The earbuds automatically disconnect when the Bluetooth connection exceeds the range. If you return to the connection range within 10 minutes, they automatically reconnect. If they stay outside of the connection range for more than 10 minutes, they enter a timeout state without a connection. You can manually reconnect them. Simply place the earbuds into the charging case, close it for 5 seconds and then open the charging case to power on the earbuds and initiate the connection .
2. Long-press the function button on the charging case for 5 seconds and reset to factory settings – complete when the indicator light flashes red for 10 seconds. Then pair again.
3. If the issue remains unresolved, please download and upgrade to the latest version of the Nothing X App and try again."
Why can't I see Ear (open) on the Bluetooth list on my phone?,"1. This is not to do with Ear (open) but rather with your phone. Turn your phone's Bluetooth off and on, or restart your device to try and establish a connection.
2. If the problem persists, place both earbuds in the charging case, close the lid and wait for 30 seconds to allow the earbuds to reboot. Alternatively, place them in the case and open the lid and long-press the function key for at least 10 seconds to restore to factory settings. Then try connecting again."
"I've connected Ear (open) to both my phone and laptop, and am using the earbuds for online meetings on my laptop. Why does the phone call audio come from the phone when I receive a call?","Due to compatibility issues, certain computers or online meeting platforms may repeatedly attempt to take over the audio connection, causing your sound to default back to the online meeting.

To resolve this:
1) Configure the online meeting app to utilise a non-Bluetooth audio channel.
2) Should the earbuds fail to relay audio from the online meeting, manually reselect the Bluetooth AG channel in the meeting software. Alternatively, re-pair the earbuds by placing them in the case for 5 seconds and then reopen the case to reconnect."
What should I do if CMF earbuds doesn't reconnect to a device within the Bluetooth range?,"1. The earbuds automatically disconnect when the Bluetooth connection exceeds the range. If you return to the connection range within 10 minutes, they automatically reconnect. If they stay outside of the connection range for more than 10 minutes, they enter a timeout state without a connection. You can manually reconnect them. Simply place the earbuds into the charging case, close it for 5 seconds and then open the charging case to power on the earbuds and initiate the connection .
2. Long-press the function button on the charging case for 5 seconds and reset to factory settings – complete when the indicator light flashes red for 10 seconds. Then pair again.
3. If the issue remains unresolved, please download and upgrade to the latest version of the Nothing X App and try again."
Why can't I see CMF earbuds on the Bluetooth list on my phone?,"1. Turn your phone's Bluetooth off and on, or restart your device to try and establish a connection.
2. If the problem persists, place both earbuds in the charging case, close the lid and wait for 30 seconds to allow the earbuds to reboot. Alternatively, place them in the case and open the lid and long-press the function key for at least 10 seconds to restore to factory settings. Then try connecting again."
"I've connected CMF earbuds to both my phone and laptop, and am using the earbuds for online meetings on my laptop. Why does the phone call audio come from the phone when I receive a call?","Due to compatibility issues, certain computers or online meeting platforms may repeatedly attempt to take over the audio connection, causing your sound to default back to the online meeting.
 
To resolve this:
1. Configure the online meeting app to utilise a non-Bluetooth audio channel.
2. Should the earbuds fail to relay audio from the online meeting, manually reselect the Bluetooth AG channel in the meeting software. Alternatively, re-pair the earbuds by placing them in the case for 5 seconds and then reopen the case to reconnect."
Why don't the earbuds automatically reconnect to my phone when the charging case is low on battery?,"1. When the charging case is low on battery, it cannot charge the earbuds but can still attempt to reconnect them. We recommend closing the lid, waiting for 2 seconds, and then reopening it.

2. When the charging case battery is extremely low, it cannot charge the earbuds or facilitate reconnection. Recharging the case will restore normal functionality.

We strongly recommend charging the charging case as soon as possible when the battery is low."
What can I do if my phone cannot detect my 24463's Bluetooth?,"1. **Check for Other Connections**:
- Ensure that the watch's Bluetooth is not connected to another phone.
2. **Bluetooth Functionality**:
- Verify that your phone can search for other Bluetooth devices in the Bluetooth settings list to rule out any issues with the phone itself.
3. **Other Device Connections**:
- Confirm if other devices are currently connected to the watch.
4. **Restart the Watch**:
- If the above steps do not resolve the issue, press the Functional Crown on the watch to enter **Settings** > **System Menu** > tap **Restart** or long-press the crown and select **Restart** and check again.
5. **Firmware Upgrade**:
- In the Nothing X app, go to the **Device** page and select **Device Upgrade** to update the firmware to the latest version.
6. **Reset the Watch**:
If the above steps do not resolve the issue, press the Functional Crown on the watch to enter **Settings** > **System Menu** > tap **Reset** and check if the issue is resolved."
